Time,TimeMS,Clock,Pulse,Pulse_low,Pulse_high,SpO2,SpO2_low,SpO2_high,Respiratory_rate,Respiratory_rate_low,Respiratory_rate_high,BloodPressure_Sys,BloodPressure_Sys_low,BloodPressure_Sys_high,Temp,Temp_low,Temp_high,,,,,,,,,,,,,,,,,,,,,,,,,
00:09:50_560,590560,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.36703,38.8,,,2.07018,0.00007,-60.2,,,,0,0
00:09:50_570,590570,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.35922,38.9,,,2.06378,0.00545,-60.2,,,,0,0
00:09:50_580,590580,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.075,0.35507,38.9,,,2.05905,0,-60.2,,,,0,0
00:09:50_590,590590,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.065,0.35116,38.9,,,2.07056,0,-60.2,,,,0,0
00:09:50_600,590600,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.055,0.3475,38.9,,,2.14772,0,-60.2,,,,0,0
00:09:50_610,590610,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.035,0.34017,39,,,2.30223,0,-60.2,,,,0,0
00:09:50_620,590620,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.015,0.337,39,,,2.39896,0,-60.2,,,,0,0
00:09:50_630,590630,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0,0.33309,39,,,2.53893,0,-60.2,,,,0,0
00:09:50_640,590640,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.03,0.32869,39,,,2.62328,0,-60.2,,,,0,0
00:09:50_650,590650,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.07,0.32234,39,,,2.70064,0,-60.2,,,,0,0
00:09:50_660,590660,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.095,0.32015,39.1,,,2.75794,0,-60.2,,,,0,0
00:09:50_670,590670,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.135,0.31722,39.1,,,2.76644,0,-60.2,,,,0,0
00:09:50_680,590680,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.18,0.31087,39.1,,,2.80076,0,-60.2,,,,0,0
00:09:50_690,590690,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.205,0.30769,39.1,,,2.81609,0,-60.2,,,,0,0
00:09:50_700,590700,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.235,0.30452,39.1,,,2.8142,0,-60.2,,,,0,0
00:09:50_710,590710,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.25,0.30159,39.1,,,2.8125,0,-60.2,,,,0,0
00:09:50_720,590720,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.255,0.29597,39.1,,,2.81257,0,-60.2,,,,0,0
00:09:50_730,590730,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.255,0.29353,39.1,,,2.81825,0,-60.2,,,,0,0
00:09:50_740,590740,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.235,0.29133,39.2,,,2.80155,0,-60.2,,,,0,0
00:09:50_750,590750,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.205,0.28938,39.2,,,2.77876,0,-60.2,,,,0,0
00:09:50_760,590760,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.155,0.28816,39.2,,,2.76863,0,-60.2,,,,0,0
00:09:50_770,590770,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.09,0.28571,39.2,,,2.77344,0,-60.2,,,,0,0
00:09:50_780,590780,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.005,0.28425,39.2,,,2.77344,0,-60.2,,,,0,0
00:09:50_790,590790,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.045,0.28254,39.2,,,2.77705,0,-60.2,,,,0,0
00:09:50_800,590800,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.1,0.28083,39.2,,,2.77228,0,-60.2,,,,0,0
00:09:50_810,590810,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.145,0.27766,39.2,,,2.75523,0,-60.2,,,,0,0
00:09:50_820,590820,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.165,0.27595,39.2,,,2.71902,0,-60.2,,,,0,0
00:09:50_830,590830,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.175,0.27448,39.2,,,2.69903,0,-60.2,,,,0,0
00:09:50_840,590840,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.18,0.27179,39.2,,,2.69221,0,-60.2,,,,0,0
00:09:50_850,590850,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.19,0.27155,39.2,,,2.69531,0,-60.2,,,,0,0
00:09:50_860,590860,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.19,0.27155,39.2,,,2.69531,0,-60.2,,,,0,0
00:09:50_870,590870,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.18,0.27131,39.3,,,2.69914,0,-60.2,,,,0,0
00:09:50_880,590880,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.17,0.27131,39.3,,,2.69586,0,-60.2,,,,0,0
00:09:50_890,590890,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.17,0.27082,39.3,,,2.67656,0,-60.2,,,,0,0
00:09:50_900,590900,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.16,0.27057,39.3,,,2.6376,0,-60.2,,,,0,0
00:09:50_910,590910,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.16,0.27057,39.3,,,2.62044,0,-60.2,,,,0,0
00:09:50_920,590920,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.155,0.27131,39.3,,,2.61218,0,-60.2,,,,0,0
00:09:50_930,590930,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.16,0.27741,39.3,,,2.61719,0,-60.2,,,,0,0
